school_id,school_name,school_type,province,city
S001,示例学校1,市场校,浙江,杭州
S002,示例学校2,市场校,安徽,绍兴
S003,示例学校3,自有校,江苏,上海
S004,示例学校4,自有校,浙江,合肥
S005,示例学校5,服务校,浙江,杭州
S006,示例学校6,自有校,江苏,绍兴
S007,示例学校7,市场校,浙江,合肥
S008,示例学校8,自有校,上海,绍兴
S009,示例学校9,服务校,安徽,杭州
S010,示例学校10,自有校,上海,宁波
S011,示例学校11,服务校,江苏,绍兴
S012,示例学校12,服务校,浙江,杭州
S013,示例学校13,服务校,浙江,宁波
S014,示例学校14,服务校,安徽,杭州
S015,示例学校15,市场校,上海,合肥
S016,示例学校16,自有校,上海,杭州
S017,示例学校17,市场校,安徽,上海
S018,示例学校18,市场校,安徽,合肥
S019,示例学校19,自有校,浙江,杭州
S020,示例学校20,市场校,江苏,宁波
S021,示例学校21,自有校,江苏,杭州
S022,示例学校22,服务校,安徽,南京
S023,示例学校23,市场校,安徽,绍兴
S024,示例学校24,服务校,安徽,绍兴
